company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,website
,,Bucks County Community Colllege,,0.0,,,,,,
,,"Bugcrowd, Inc",,0.0,,,,,,
Buhler Commercial,6629111.0,Buhler Commercial,2-10 funcionários,1.0,"San Francisco, California",Construção,not found,https://www.linkedin.com/company/6629111/about/,"Commercial Construction, Design-Build, Tenant Improvement, Office Renovations, Restaurant Construction, Build Outs e Facility Maintenance",http://www.buhlercommercial.com
Built Technologies,3626039.0,Built Technologies,51-200 funcionários,1.0,"Nashville, Tennessee",Tecnologia da informação e serviços,19,https://www.linkedin.com/company/3626039/about/,"Financial Services Technology, Construction Lending, CRE Lending, Bank Compliance, Risk Mitigation, SaaS- based company, Renovation Lending, Builder Finance, FinTech, Homebuilder Finance, Residential Construction Lending, Commercial Construction Lending, Digital Lending, construction finance e SaaS",http://www.getbuilt.com
BURN Manufacturing,2909544.0,Burn Burn,51-200 funcionários,1.0,,Serviços ambientais,not found,https://www.linkedin.com/company/2909544/about/,"cookstoves, manufacturing, sustainable development, climate change e Environment",http://www.burnstoves.com
Burns & McDonnell,12902.0,Burns & Levinson LLP,5.001-10.000 funcionários,1.0,"Kansas City, MO",Construção,386,https://www.linkedin.com/company/12902/about/,"Architecture, Aviation, Commercial & Retail, Commissioning, Construction, Consulting, Engineering, Environmental, Government & Military, Manufacturing & Industrial, Oil & Gas, Operations & Maintenance, Planning, Power, Program Management, Studies, Transportation, Water, Municipal, Chemicals, Telecommunications, Technology, Operations e Maintenance",http://www.burnsmcd.com
Burr & Burton Academy International Program,28118035.0,Burr and Burton Academy,,1.0,,,not found,https://www.linkedin.com/company/28118035/about/,,
BuySide Auto,2652657.0,Buyside Auto LLC,2-10 funcionários,1.0,"San Francisco, California",Indústria automotiva,not found,https://www.linkedin.com/company/2652657/about/,"Auto brokering, Car Leasing, Auto Purchase Decisions e Stress Free Car Buying",http://www.buysideauto.com
"BVF Engineering, Inc.",5051694.0,Bvf Inc.,11-50 funcionários,1.0,,Engenharia civil,not found,https://www.linkedin.com/company/5051694/about/,"Highways & Streets, Traffic Engineering, Bridges & Structures, Construction Management e Program Management",http://www.bvf-engineering.com
"C.H. BURNHAM, INC.",52661929.0,"C.H. Burnham, Inc.",2-10 funcionários,1.0,"San Francisco, California",Construção,not found,https://www.linkedin.com/company/52661929/about/,,
C3 Integrated Solutions,411679.0,C3 Integrated Solutions,2-10 funcionários,1.0,"Arlington, VA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/411679/about/,"IT consulting, Cloud Services, Technology, Office 365, Telecom, SharePoint, vCIO, MDM, Internet, Managed Services, IT Solutions, Azure, Skype for Business, MS Security Suite, Outsourced IT, Data Security e EM+S",http://www.c3isit.com
,,"Caffeinated Capital Management, Inc.",,0.0,,,,,,
,,Calcula Technologies Inc,,0.0,,,,,,
,,Calltower Inc.,,0.0,,,,,,
Calm,3832633.0,Calm,51-200 funcionários,1.0,"San Francisco, California","Saúde, bem-estar e educação física",2,https://www.linkedin.com/company/3832633/about/,"Meditation & Relaxation, Sleep, Health & Wellness e Mindfullness",http://www.calm.com
CalOptima,27752.0,CalOptima,1.001-5.000 funcionários,1.0,"Orange, California",Atendimento médico e hospitalar,8,https://www.linkedin.com/company/27752/about/,,http://www.caloptima.org
Câmara Municipal de Santo André,11810209.0,Câmara Municipal de Santo André,51-200 funcionários,1.0,"Santo André, São Paulo",Relações governamentais,not found,https://www.linkedin.com/company/11810209/about/,"Governo, Câmara Municipal, Santo André e Poder Legislativo",http://www.cmsandre.sp.gov.br
Camber Collective,726845.0,Camber Collective,11-50 funcionários,1.0,"Seattle, Washington",Consultoria de gerenciamento,not found,https://www.linkedin.com/company/726845/about/,"Business Model Innovation, Corporate Development, Strategic Planning, Enterprise Portfolio Management, Performance Management e Technology Economics",http://www.cambercollective.com
Camputee Press,33008554.0,Camputee Press,11-50 funcionários,1.0,"San Francisco, California",,not found,https://www.linkedin.com/company/33008554/about/,,http://camputeepress.com
CAN Capital,1142442.0,CAN Capital,51-200 funcionários,1.0,"Kennesaw, Georgia",Serviços financeiros,not found,https://www.linkedin.com/company/1142442/about/,"Business Loans, Merchant Cash Advance, Business Cash Advance, Small Business Capital Funding, Working Capital, Alternative Lending, Specialty Finance, Small Business Finance e SMB Loans",http://www.cancapital.com
Canoe Ventures,725258.0,Canoe Ventures,11-50 funcionários,1.0,"Lakewood, Colorado",Marketing e publicidade,not found,https://www.linkedin.com/company/725258/about/,"VOD Advertising, Video on Demand e OTT",http://www.canoeventures.com/
Cantel Medical,1387385.0,Cantel Medical,1.001-5.000 funcionários,1.0,"Little Falls, NJ",Dispositivos médicos,52,https://www.linkedin.com/company/1387385/about/,"Infection Prevention, Healthcare Disposables, Endoscopy, Water Purification & Filtration, Chemistries, Dialysis, Specialty Packaging e Therapeutic Technologies",http://www.cantelmedical.com
Capital One,1419.0,Capital One,+ de 10.001 funcionários,1.0,"McLean, Va",Serviços financeiros,325,https://www.linkedin.com/company/1419/about/,Business Banking,http://www.capitalone.com
Capital One 360 Café,54801821.0,Capital One 360,11-50 funcionários,1.0,"Honolulu, Hawaii",Restaurantes,not found,https://www.linkedin.com/company/54801821/about/,,
CAPITAL ONE FINANCIAL CORPORATION SL,38044371.0,Capital One Financial Corporation,2-10 funcionários,1.0,"LAS PALMAS, Las Palmas",Serviços individuais e familiares,not found,https://www.linkedin.com/company/38044371/about/,,
,,Capital One formerly known as ING Direct,,0.0,,,,,,
,,"captech ventures, inc",,0.0,,,,,,
Carbon,4802576.0,Carbon,201-500 funcionários,1.0,"Redwood City, CA",Tecnologia da informação e serviços,1,https://www.linkedin.com/company/4802576/about/,"Additive Manufacturing, 3D Printing, Molecular Science, Digital Manufacturing e Manufacturing",https://rebrand.ly/Visit-Carbon-LI
Carbon Health,7943612.0,Carbon Health,201-500 funcionários,1.0,"San Francisco, CA",Prática médica,24,https://www.linkedin.com/company/7943612/about/,"Primary Care Physicians, General Practitioners, Urgent Care, mHealth, Healthcare, Medicine, Digital Health, Telemedicine, Outpatient Care, EHR, Interoperability, Machine Learning, AI, pediatrics, mental health, orthopedics e primary care",http://carbonhealth.com
Carceron,99375.0,Carceron,2-10 funcionários,1.0,"Atlanta, GA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/99375/about/,"IT Support, IT Consulting, Offsite Backup, Monitoring, Email Archiving, Server Disaster Recovery, Patch Management, Helpdesk, Small Business Server, Microsoft Gold Partner, Exchange, Technology Compliance for HIPAA e SOX & GLBA",http://www.carceron.net
,,Cardfree Inc.,,0.0,,,,,,
CareTech Solutions,17876.0,caretech solutions,1.001-5.000 funcionários,1.0,"Troy, MI",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/17876/about/,"Healthcare Information Technology Services, Content Management System (CMS) for healthcare websites, Healthcare IT Solutions, Healthcare IT Outsourcing, Healthcare Data center, Population Health, Application Development and Managed Services, Hospital IT Services, Hospital IT Solutions, Healthcare IT Solutions, Enterprise Document Management, Legacy Decommissioning, Healthcare IT Consulting, Healthcare IT Consulting, Hospital IT Disaster Recovery, Account Provisioning, IT Monitoring, Hospital Data Hosting, Clinical Service Desk e Document Management (iDoc)",http://www.caretech.com
Carey International,19009.0,Carey International,1.001-5.000 funcionários,1.0,"Frederick, Maryland",Transporte/Caminhões/Trens,not found,https://www.linkedin.com/company/19009/about/,"Global Chauffeur Driven Services, Private Aviation Ground Transport, Meetings & Event Transportation Management e Road Show Transportation Management",http://www.carey.com
Cargill,2678.0,Cargill,+ de 10.001 funcionários,1.0,"Wayzata, Minnesota",Produtos alimentícios,89,https://www.linkedin.com/company/2678/about/,"Food ingredients, agricultural, risk management e commodity trading and processing",https://www.cargill.com
Carhartt,34585.0,Carhartt,5.001-10.000 funcionários,1.0,"Dearborn, MI",Roupas e moda,9,https://www.linkedin.com/company/34585/about/,"Made in the USA, Rainwear, Workwear, Twill, Quick Duck, Rugged, High-Visibility, Flame-Resistant, Mens, Womens, Kids, Accessories, Boots e Company Gear",http://www.carhartt.com
Cartoon Network,26998697.0,Cartoon Network,1.001-5.000 funcionários,1.0,"Atlanta, Georgia",Entretenimento,not found,https://www.linkedin.com/company/26998697/about/,,http://www.cartoonnetwork.com
Casa do Produtor,64922229.0,Casa do Produtor,51-200 funcionários,1.0,"Curitiba, Paraná",Varejo,not found,https://www.linkedin.com/company/64922229/about/,,http://www.casadoprodutor.com.br
"Cascade Environmental, LLC",1985589.0,"Cascade Environmental, LLC",1.001-5.000 funcionários,1.0,"Bothell, Washington",Serviços ambientais,5,https://www.linkedin.com/company/1985589/about/,"Environmental Drilling, In Situ Remediation, Geotechnical Drilling, Chemical Injection, High Resolution Site Characterization e Subsurface Profiling",http://www.cascade-env.com
Casetext,3318375.0,Casetext,11-50 funcionários,1.0,"San Francisco, California",Serviços jurídicos,not found,https://www.linkedin.com/company/3318375/about/,"Legal research, Legal publishing, Legal networking e Legal knowledge",https://www.casetext.com
Cask Data (acquired by Google),2552378.0,Cask Data,51-200 funcionários,1.0,"Palo Alto, CA",Software,not found,https://www.linkedin.com/company/2552378/about/,Big Data e Hadoop,https://cloud.google.com/data-fusion
Courtney Casteel Interior Design,15214589.0,Casteel Consulting,2-10 funcionários,1.0,"Carmel, IN",Atendimento ao consumidor,not found,https://www.linkedin.com/company/15214589/about/,"Interior Design, Residential Design, New Construction, Commerial Design e Design Consultation",http://www.courtneycasteel.com
Castle Metals,28363.0,Castle Metals,501-1.000 funcionários,1.0,"Oak Brook, IL",Mineração e metais,not found,https://www.linkedin.com/company/28363/about/,"Supply chain, alloy, carbon, stainless, aluminum, nickel, distribution, saw, flame, laser, waterjet cutting, machining, trepanning, boring, heat treating, surface finishing, testing, heavy industrial, aerospace, oil & gas, defense, metals service center e processing",http://www.castlemetals.com
Castle Rock Capacity Insurance Agency,19052307.0,Castle Rock Capacity Insurance Agency,2-10 funcionários,1.0,"New York, New York",Seguros,not found,https://www.linkedin.com/company/19052307/about/,"Product Liability Insurance, Construction Insurance, Real Estate Insurance, CBD, Dietary Supplements, Toy Manufactures, Auto Part Manufacturers, OCIP, CCIP, Contractor Insurance, Product Insurance, Product Liability, Infant & Baby Products e Builders Risk",https://castlerockagency.com
CAT MUSEUM OF SAN FRANCISCO,59163509.0,Cat Museum of San Francisco,,1.0,"San Francisco, California",Museus e instituições,not found,https://www.linkedin.com/company/59163509/about/,,http://catmuseumsf.org
,,Category III Development Corporation,,0.0,,,,,,
Caterpillar Inc.,2622.0,Caterpillar,+ de 10.001 funcionários,1.0,"Deerfield, IL",Maquinário,75,https://www.linkedin.com/company/2622/about/,"manufacture of construction and mining equipment, diesel and natural gas engines e worldwide dealer network",https://www.caterpillar.com
Catholic Charities of the Archdiocese of Chicago,286282.0,Catholic Charities of the Archdiocese,1.001-5.000 funcionários,1.0,"Chicago, Illinois",Serviços individuais e familiares,5,https://www.linkedin.com/company/286282/about/,"Affordable Housing, Substance Abuse Counseling, Senior Services, Affordable Child Care, Nutrition Services, Family Counseling, Immigration and Naturalization e Veterans Services",http://www.catholiccharities.net
CBMMG,1189463.0,CBMMG,1.001-5.000 funcionários,1.0,,Militar,not found,https://www.linkedin.com/company/1189463/about/,,http://www.bombeiros.mg.gov.br
CBN,11330077.0,CBN,51-200 funcionários,1.0,"São Paulo, São Paulo",Mídia de difusão,not found,https://www.linkedin.com/company/11330077/about/,"Mídia de difusão, Jornalismo e Rádio",http://cbn.globoradio.globo.com/
CBTS,1122072.0,CBTS,1.001-5.000 funcionários,1.0,"Cincinnati, Ohio",Tecnologia da informação e serviços,80,https://www.linkedin.com/company/1122072/about/,"unified communications, information security, managed services, cloud computing, IT infrastructure, collaboration, network as a service, SD-WAN, cloud networking, data storage, backup , disaster recovery, IT consulting, Professional Services, Cisco, HPE, cloud services, data center, Infrastructure as a Service, Communications as a Service, Application Development, Cloud Services e Cybersecurity",http://www.cbts.com
CCJK Technologies,2601358.0,CCJK Technologies,51-200 funcionários,1.0,"Shen Zhen, GuangDong",Tradução e localização,not found,https://www.linkedin.com/company/2601358/about/,"Document Translation, Language Interpretation, Website Translation & Localization, Software Localization, Mobile App Localization, Desktop Publishing (DTP), User Guide/Manual Development, Graphic Design, Web Design and Development, Mobile App Development e E-learning",http://www.ccjk.com
,,CCSF- San Francisco International Airport,,0.0,,,,,,
Centers for Disease Control and Prevention,157336.0,CDC,+ de 10.001 funcionários,1.0,"Atlanta, GA",Administração governamental,27,https://www.linkedin.com/company/157336/about/,Public Health,http://www.cdc.gov
CDN77,2792727.0,CDN77,51-200 funcionários,1.0,"London, United Kingdom",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/2792727/about/,"Content Delivery Network, Gaming Delivery, VOD, Live Streaming, OTT, IPTV, Software Delivery e Website Acceleration",https://www.cdn77.com
CDN77,2792727.0,CDN77.com,51-200 funcionários,1.0,"London, United Kingdom",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/2792727/about/,"Content Delivery Network, Gaming Delivery, VOD, Live Streaming, OTT, IPTV, Software Delivery e Website Acceleration",https://www.cdn77.com
CDTA Consultoria e Tecnologia Ltda.,11757635.0,CDTA Consultoria e Tecnologia Ltda,2-10 funcionários,1.0,"Curitiba, PR",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/11757635/about/,"Project Management, Product Management e Software Development",http://www.cdta.com.br
,,Ceba Solutions Corp,,0.0,,,,,,
Celgene,8348.0,Celgene,5.001-10.000 funcionários,1.0,"Summit, New Jersey",Indústria farmacêutica,not found,https://www.linkedin.com/company/8348/about/,"Hematology, Oncology, Inflammation, Immunology, Cancer, R&D, Innovation, Immunooncology, biopharma, Epigenetics, Protein Homeostasis, Translation Medicine e Orphan diseases",http://www.celgene.com
CellScope (acquired),2010934.0,Cellscope,11-50 funcionários,1.0,"San Francisco, CA","Saúde, bem-estar e educação física",not found,https://www.linkedin.com/company/2010934/about/,,http://www.cellscope.com
Celtic Dog Walker,62702869.0,Celtic Dog Walker,2-10 funcionários,1.0,"San Francisco, California",Administração agrícola,not found,https://www.linkedin.com/company/62702869/about/,,http://celticdogwalker.com
Centene Corporation,9703.0,Centene Corporation,+ de 10.001 funcionários,1.0,"Saint Louis, MO",Atendimento médico e hospitalar,190,https://www.linkedin.com/company/9703/about/,"Contracting, Network Development e Managed Care",http://www.centene.com
Centers for Disease Control and Prevention,157336.0,Centers For Disease Control & Prevention,+ de 10.001 funcionários,1.0,"Atlanta, GA",Administração governamental,27,https://www.linkedin.com/company/157336/about/,Public Health,http://www.cdc.gov
Central de Negócios e Alimentos Rede TOP ,16202495.0,Central de Negócios,1.001-5.000 funcionários,1.0,"Indaial, Santa Catarina",Supermercados,not found,https://www.linkedin.com/company/16202495/about/,Varejo e Supermercado,http://www.redetop.com.br
CenturyLink,4955.0,CenturyLink,+ de 10.001 funcionários,1.0,"Monroe, LA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/4955/about/,"Communications, Voice, Video and Data, Hosting, Big Data Analytics, IT Consulting, Managed Services, Global Data Centers, Cloud e Security",http://www.centurylink.com
,,CenturyLink (Formerly Qwest),,0.0,,,,,,
CERC Central de Recebíveis,17901256.0,CERC Central de Recebíveis,51-200 funcionários,1.0,"São Paulo, São Paulo",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/17901256/about/,"Financial Services, Supply Chain Finance, Trade Receivables Analysis, Invoice Discounting Analysis, Accounts Receivable Finance, Supplier Financing, financial market, mercado financeiro, recebíveis, notas fiscais, duplicatas, crédito, financiadores, bancos e infraestrutura de mercado financeiro",http://www.cerc.inf.br
Cerner Corporation,2812.0,Cerner Corporation,+ de 10.001 funcionários,1.0,"Kansas City, Missouri",Tecnologia da informação e serviços,251,https://www.linkedin.com/company/2812/about/,"Millennium, Health care, HIT, Information Technology, Population Health, Revenue Cycle, EHR e Interoperability",http://www.cerner.com
CGI,1415.0,CGI,+ de 10.001 funcionários,1.0,"Montreal, Quebec",Tecnologia da informação e serviços,282,https://www.linkedin.com/company/1415/about/,"Business consulting, Systems integration, Intellectual property, Managed IT, Business process services, Digital transformation e Emerging technology",https://cgi.com
,,"Chairish, Inc.",,0.0,,,,,,
Champion Solutions Group,19450.0,Champion Solutions Group,51-200 funcionários,1.0,"Boca Raton, FL",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/19450/about/,"Mobility, Data Management, Cloud, Security, IT Services & Consulting, Windows 10, Virtualization, Flash Storage, Networking, Converged Infrastructure e Hyper-Converged Infrastructure",http://www.championsg.com
DAVID GAVIN CHAN,54935957.0,Chan Gavin,2-10 funcionários,1.0,"Scottsdale, Arizona",Prática médica,not found,https://www.linkedin.com/company/54935957/about/,,
,,"Chance Irvine Consulting, LLC",,0.0,,,,,,
Change Healthcare,960104.0,Change Healthcare,+ de 10.001 funcionários,1.0,"Nashville, TN",Tecnologia da informação e serviços,323,https://www.linkedin.com/company/960104/about/,"Cost Transparency, Healthcare Benefits Education, Healthcare Provider Solutions, Revenue Cycle Solutions, Pharmacy Services, Clinical Information Exchange, Healthcare IT, Channel Partners/Vendors, Payment Cycle Management, Payment Integrity e Payer Solutions",http://www.changehealthcare.com
,,"Changecoin, Inc.",,0.0,,,,,,
Chantal Guillon Macarons & Teas,3783412.0,Chantal Guillon,11-50 funcionários,1.0,"San Francisco, Californie",Produtos alimentícios,not found,https://www.linkedin.com/company/3783412/about/,"Macarons & Teas, French pastries, Viennoiserie e Patisseries",https://www.chantalguillon.com/
"Public Relations Society of America, San Francisco Bay Area Chapter (PRSA SF Bay Area)",6578596.0,Chapter Sf,11-50 funcionários,1.0,"San Francisco, CA",Relações públicas e comunicações,not found,https://www.linkedin.com/company/6578596/about/,"Public Relations, Events, Networking, Training and Workshops, APR Accreditation, Classes and Webinars e Professional Development",http://www.prsasf.org
Charles Schwab,1855.0,Charles Schwab,+ de 10.001 funcionários,1.0,"San Francisco, CA",Serviços financeiros,253,https://www.linkedin.com/company/1855/about/,"Brokerage, Banking, Financial Consulting, Financial Products and Services, Portfolio Management, Advisor Services, Retirement Plan Services, Specialty Brokerage Services e Mutual Fund Clearing Services",http://www.schwab.com
Charlotte County Board of County Commissioners,791106.0,Charlotte County,1.001-5.000 funcionários,1.0,,Administração governamental,not found,https://www.linkedin.com/company/791106/about/,,http://www.CharlotteCountyFL.gov
,,"Chartboost, Inc.",,0.0,,,,,,
Charter Communications,4561.0,Charter Communications,+ de 10.001 funcionários,1.0,"Stamford, CT",Telecomunicações,4,https://www.linkedin.com/company/4561/about/,"TV, Internet e Voice",http://www.charter.com
"Checkr, Inc.",3535535.0,Checkr,201-500 funcionários,1.0,"San Francisco, California",Internet,9,https://www.linkedin.com/company/3535535/about/,"Background screening, Motor Vehicle Reports, Criminal Searches, API, FCRA Compliance, Artificial Intelligence, Machine Learning e AI",http://www.checkr.com
ChefsFeed,2664538.0,Chefs Feed,11-50 funcionários,1.0,"San Francisco, CA",Internet,not found,https://www.linkedin.com/company/2664538/about/,"Food, Mobile, Travel, Discovery, Social, Restaurants, Urban, Guides, Dining e Nightlife",https://www.chefsfeed.com
"Cheniere Energy, Inc.",33203.0,Cheniere Energy,1.001-5.000 funcionários,1.0,"Houston, Texas",Petróleo e energia,not found,https://www.linkedin.com/company/33203/about/,LNG,http://www.cheniere.com
Cherridm Digital Marketing,64781860.0,Cherri DM,,1.0,,Marketing e publicidade,not found,https://www.linkedin.com/company/64781860/about/,,http://cherridm.com
Chesapeake Bank,5228543.0,Chesapeake Bank,201-500 funcionários,1.0,"Kilmarnock, Virginia",Bancos,not found,https://www.linkedin.com/company/5228543/about/,,http://chesbank.com
Chewse,2545448.0,Chewse,51-200 funcionários,1.0,"San Francisco, CA",Alimentos e bebidas,not found,https://www.linkedin.com/company/2545448/about/,"Catering, Food & Beverage, culture e Office Catering",http://www.chewse.com
Chicho Corp,33287536.0,Chicho,11-50 funcionários,1.0,"Miraflores, Lima",Software,not found,https://www.linkedin.com/company/33287536/about/,"Software, Healthcare e Recruitment",http://www.chicho.pe
"CHICK-FIL-A, INC. @ LIBERTY PLACE",61105917.0,"Chick-fil-A, Inc.",2-10 funcionários,1.0,"Philadelphia, Pennsylvania",Restaurantes,not found,https://www.linkedin.com/company/61105917/about/,,
Chictopia,1300813.0,Chictopia,2-10 funcionários,1.0,"San Francisco, California",Internet,not found,https://www.linkedin.com/company/1300813/about/,"Fashion and Streetstyle, Social Networking, Blogging e E- Commerce",http://www.chictopia.com
"Chief Industries, Inc.",756142.0,"Chief Industries, Inc.",1.001-5.000 funcionários,1.0,"Grand Island, NE",Materiais de construção,17,https://www.linkedin.com/company/756142/about/,"Agricultural Products, Commercial Carriers, Electrical Service, Commercial Construction, Ethanol Fuels, Factory Built Homes, Fabrication, Powder Coating, Pre-Engineered Metal Buildings, Secondary Containment, Structural Steel e Wastewater Treatment",http://chiefind.com
"SEQUEL-Pomegranate Health Systems of Central Ohio, Inc.",1355355.0,Child Family Health Inter,1.001-5.000 funcionários,1.0,"Columbus, Ohio",Atendimento médico e hospitalar,not found,https://www.linkedin.com/company/1355355/about/,"adolescent psychiatry, acute psychiatric hospital, residential treatment facility e emergency shelter care",http://www.pomegranatehealthsystems.com
CHILDREN'S MERCY HOSPITALS & CLINICS,59321984.0,Children's Hospitals and Clinics of MN,2-10 funcionários,1.0,"Overland Park, Kansas",Prática médica,not found,https://www.linkedin.com/company/59321984/about/,,
China Focus Travel Inc,3912849.0,China Focus Travel Inc,11-50 funcionários,1.0,"San Francisco, California",Ensino fundamental/médio,not found,https://www.linkedin.com/company/3912849/about/,,http://www.chinafocustravel.com
Chipotle Mexican Grill,163025.0,Chipotle,+ de 10.001 funcionários,1.0,"Newport Beach, California",Restaurantes,17,https://www.linkedin.com/company/163025/about/,"Burritos, bowls e tacos and salads.",http://www.chipotle.com
Chubb,1269.0,Chubb,+ de 10.001 funcionários,1.0,,Seguros,75,https://www.linkedin.com/company/1269/about/,,http://www.chubb.com
,,"Chubbies, Inc.",,0.0,,,,,,
Chute Gerdeman,51426.0,Chute,51-200 funcionários,1.0,"Westerville, Ohio",Design,not found,https://www.linkedin.com/company/51426/about/,"retail design, branding, research, strategy, brand communication, environments design, architecture, implementation e consumer research",http://www.chutegerdeman.com
CIBO,10681367.0,Cibo,11-50 funcionários,1.0,"Cambridge, Massachusetts",Software,not found,https://www.linkedin.com/company/10681367/about/,"Product, Agriculture, Technology e Computer Software",http://www.cibotechnologies.com
CIEE - Centro de Integração Empresa-Escola,11400173.0,CIEE/PR,1.001-5.000 funcionários,1.0,"São Paulo, SP",Filantropia,not found,https://www.linkedin.com/company/11400173/about/,"estágio, aprendizagem, espaço cidadania, terceiro setor, filantropia, ong, recrutamento, seleção e processo seletivo",http://www.ciee.org.br
Cigna,2490.0,Cigna,+ de 10.001 funcionários,1.0,"Bloomfield, CT","Saúde, bem-estar e educação física",171,https://www.linkedin.com/company/2490/about/,"Health Care, Behavioral Health, Dental, Pharmacy, Short- and Long-Term Disability, Travel, Accident and Life Insurance, Global Health Benefits, Individual Private Medical Insurance, Wellness Services, Voluntary Benefits e Medicare and Medicaid",http://www.cigna.com
Cigna UK HealthCare Benefits,1518753.0,Cigna Healthcare,501-1.000 funcionários,1.0,"Greenock, Inverclyde",Seguros,not found,https://www.linkedin.com/company/1518753/about/,"Private medical insurance, Dental insurance e Health & Wellbeing",http://www.cigna.co.uk
CircleCI,6385214.0,Circleci,201-500 funcionários,1.0,"San Francisco, California",Software,20,https://www.linkedin.com/company/6385214/about/,"continuous integration, continuous delivery, SaaS, cloud computing, developer tools, enterprise, continuous deployment, containers, PaaS e DevOps",https://circleci.com/
CIRIOS REAL ESTATE INC,15462415.0,"Cirios Real Estate, Inc",2-10 funcionários,1.0,"SAN MATEO, California",Imobiliário,not found,https://www.linkedin.com/company/15462415/about/,,http://cirios.net
,,Cirruscpq,,0.0,,,,,,
Cisco,1063.0,Cisco,+ de 10.001 funcionários,1.0,"San Jose, CA",Redes,715,https://www.linkedin.com/company/1063/about/,"Networking, Wireless, Security, Unified Communication, Cloud, Collaboration, Data Center, Virtualization e Unified Computing Systems",http://www.cisco.com
Cision,163054.0,Cision,1.001-5.000 funcionários,1.0,"Chicago, IL",Relações públicas e comunicações,30,https://www.linkedin.com/company/163054/about/,"PR Software, Social Media Software, Global Insights e GR & PAC Software",https://www.cision.com/us/
CIT Group Ltd,25070749.0,CIT Group,1.001-5.000 funcionários,1.0,"Jeddah, Makkah Region",Administração de serviços,not found,https://www.linkedin.com/company/25070749/about/,"Mining , Cleaning , Pest control, Landscaping, Hard services, Facilities management, Energy saving, Asset management, Waste management, Municipal services, Construction, Specialist services, Renovation and repair, Building maintenance, Painting, Front of house services, Space management e Underground mining",http://citgroupltd.com/
Citi,11448.0,Citi,+ de 10.001 funcionários,1.0,"New York, New York",Serviços financeiros,731,https://www.linkedin.com/company/11448/about/,"Banking, Commercial Banking, Investment Banking, Wealth Management, Credit Cards, Capital Markets, Equity and Fixed Income Research, Consumer Lending, Cash Management e Transaction Services",http://www.citigroup.com
Citi Private Bank,35441748.0,Citi Private Bank,,1.0,,Serviços financeiros,not found,https://www.linkedin.com/company/35441748/about/,,https://www.privatebank.citibank.com/
Citi,11448.0,Citigroup,+ de 10.001 funcionários,1.0,"New York, New York",Serviços financeiros,731,https://www.linkedin.com/company/11448/about/,"Banking, Commercial Banking, Investment Banking, Wealth Management, Credit Cards, Capital Markets, Equity and Fixed Income Research, Consumer Lending, Cash Management e Transaction Services",http://www.citigroup.com
First Citizens Bank,163828.0,Citizens Bank,5.001-10.000 funcionários,1.0,"Raleigh, North Carolina",Bancos,39,https://www.linkedin.com/company/163828/about/,"Retail Banking, Commercial Banking, Wealth Management, Brokerage Services, Insurance, Mortgage, Business Banking e Private Banking",http://www.firstcitizens.com/
Citizens Property Insurance Corporation,42110.0,Citizens Property Insurance Corporation,1.001-5.000 funcionários,1.0,"Tallahassee, FL",Seguros,10,https://www.linkedin.com/company/42110/about/,Property Insurer of last resort,http://www.citizensfla.com
City of Chesapeake,11474958.0,City of Chesapeake,1.001-5.000 funcionários,1.0,"Chesapeake, Virginia",Administração governamental,not found,https://www.linkedin.com/company/11474958/about/,,http://www.cityofchesapeake.net
City of Coral Gables,563159.0,City of Coral Gables,501-1.000 funcionários,1.0,"Coral Gables, FL",Administração governamental,not found,https://www.linkedin.com/company/563159/about/,,http://www.coralgables.com
Ebix,40563.0,City of Dallas Information Technology Services (ITS),5.001-10.000 funcionários,1.0,"Johns Creek, GA",Software,32,https://www.linkedin.com/company/40563/about/,"Agency/Broker Systems, Insurance Carrier Systems, Insurance Certificate Management (Certificate Tracking and Issuance), Life and Annuity, Risk Management, Custom Software Development, Contact Center Services, CRM, Remittance, Financial Technology, FOREX, Travel Exchanges e E-Learning",http://www.ebix.com
City of El Monte,100105.0,City of El Monte,201-500 funcionários,1.0,,Administração governamental,not found,https://www.linkedin.com/company/100105/about/,,
City of Fort Collins,30487.0,City of Fort Collins,1.001-5.000 funcionários,1.0,,Administração governamental,not found,https://www.linkedin.com/company/30487/about/,,http://www.fcgov.com/
,,City of Fort Collins Utilities,,0.0,,,,,,
City of New Britain,215947.0,City of New Britain,1.001-5.000 funcionários,1.0,"New Britain, CT",Administração governamental,not found,https://www.linkedin.com/company/215947/about/,,http://new-britain.net
City of Oakland,10556.0,City of Oakland,1.001-5.000 funcionários,1.0,"Oakland, California",Administração governamental,not found,https://www.linkedin.com/company/10556/about/,,http://oaklandca.gov
City of Orlando,20655.0,City of Orlando,1.001-5.000 funcionários,1.0,"Orlando , FL",Administração governamental,9,https://www.linkedin.com/company/20655/about/,,http://www.cityoforlando.net
