id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,language,
93,dextra-digital,,2020-08-06,"Live Mutant está completa! Shows incríveis, conteúdos exclusivos! Esqueça aquelas lives chatas das empresas!É só clicar e garantir seu lugar! Join the Revolution!'",27,0,0,,linkedin,pt,
94,dextra-digital,,2020-08-06,"Mais um nome incrível na Live Mutant: Gabriel, o Pensador!Só falta você. Entre no site e confirme seu lugar! Não fique de fora: a hora é agora. Vem celebrar, cantar e rimar com a gente!'",6,0,0,,linkedin,pt,
95,dextra-digital,,2020-08-06,O maior evento tecnologia de Campinas chega a sua 8ª edição com o formato 100% online e gratuito. Confira um pouco mais sobre a história e se inscreva para não perder nenhum dia: https://bit.ly/3g8dMM9',72,2,0,,linkedin,pt,
98,dextra-digital,,2020-08-06,"Quer conhecer como é o nosso programa de estágio pela voz de quem já passou ou ainda passa pela experiência? Vem com a gente na nossa próxima live!Inscreva-se no programa de estágio aqui: https://lnkd.in/dFsqua7É nesta sexta-feira (14), das 18h às 19h30.'",51,0,0,,linkedin,pt,
99,dextra-digital,,2020-08-06,"Hoje mais do que nunca é necessário alinhar as múltiplas iniciativas de TI para trazerem melhores resultados. Ter squads ou ter um app não é mais suficiente. É preciso explorar de maneira inteligente e articulada as ações nascidas dentro da empresa para concretizar estratégias e produtos digitais. Confira o que rolou na nossa live sobre estratégia digital. Participação: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho e Andre Petenussi, CTO da Localiza.'",9,0,0,,linkedin,pt,
100,dextra-digital,,2020-08-06,"Confira o nosso case do Meu Alelo, e perceba a importância de alinhar a estratégia digital ao negócio. #EstrategiaDigital'",71,0,0,#EstrategiaDigital',linkedin,pt,
102,dextra-digital,,2020-08-06,Quer fazer parte de um time que é ponta firme e que manda muito bem? Venha conhecer as nossas vagas #vempradextra',114,3,0,#vempradextra',linkedin,pt,
105,dextra-digital,,2020-08-06,"Falta uma semana para nossa Live! É só clicar, deixar seu email e garantir a sua vaga!'",30,0,0,,linkedin,pt,
106,dextra-digital,,2020-08-06,"Estamos ao vivo🔴 O nosso Diretor de Inovação, Bill Coutinho, está conversando com: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho; Andre Petenussi, CTO da Localiza sobre essas e outras provocações. Participe:'",42,0,0,,linkedin,pt,
107,dextra-digital,,2020-08-06,"E aí, confirmou sua presença?! A Luisa Possi já! A Live Mutant tá chegando!Uma noite com muita música, surpresas e energia lá em cima. Esqueça aquelas lives chatas de empresas.Aqui é Mutant! Vem com a gente!'",16,0,0,,linkedin,pt,
108,dextra-digital,,2020-08-06,"O que uma empresa deve fazer para gerar novos negócios e conquistar clientes a partir de produtos digitais? No artigo de hoje, O nosso CDO, Luis Dosso, explica um pouco sobre o que é ‘estratégia digital’ e como tirá-la do papel. #EstratégiaDigital'",40,0,0,#EstratégiaDigital',linkedin,pt,
117,dextra-digital,,2020-08-06,"Embarcamos no desafio de ajudar a Catho a se preparar para o futuro, que é cada vez mais digital. O resultado: um app modernizado, aumento no engajamento de candidatos e na retenção dos clientes.Confira o case completo!'",44,0,0,,linkedin,pt,
122,dextra-digital,,2020-08-06,Revolução se faz em grupo. Garanta seu lugar na live!',11,0,0,,linkedin,pt,
126,dextra-digital,,2020-08-06,"Live Mutant! Negra Li, Paulo Miklos e Di Ferrero confirmados! E vem mais gente por aí!Acesse o site e confirme sua presença!'",13,0,0,,linkedin,pt,
130,dextra-digital,,2020-08-06,"Explorar de maneira inteligente e articulada as ações que nascem nas áreas de inovação e marketing, com times que tenham agilidade para entender o modelo de negócio e criar planejamentos rápidos para validação das hipóteses promovem resultados positivos para a concretização da Estratégia Digital da sua empresa. O nosso Diretor de Inovação, Bill Coutinho, irá conversar com: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho; Andre Petenussi, CTO da Localiza sobre essas e outras provocações. Garanta sua inscrição:'",13,0,0,,linkedin,pt,
142,dextra-digital,,2020-08-06,"Vai ter DevCamp, sim! Agora serão 4 dias, 4 trilhas, + 12 horas de conteúdo, tudo online e gratuito nos dias 22 a 25 de setembro.Garanta sua participação no DevCamp Live! #DCLive2020'",80,1,0,#DCLive2020',linkedin,pt,
214,dextra-digital,,2020-08-06,Trabalhar com propósito é o que nos faz ser a melhor empresa de TI para se trabalhar! #vempradextra',75,0,0,#vempradextra',linkedin,pt,
215,dextra-digital,,2020-08-06,Entre os dias 25 e 28 de agosto estaremos presente no TDC Online \\o/. Que tal participar com a gente? Inscreva-se gratuitamente. Te esperamos na nossa sala para batermos um papo :D https://lnkd.in/d4HZFEw',53,2,0,,linkedin,pt,
216,dextra-digital,,2020-08-06,Já sabe da novidade? Vem conferir! Live 20.08.20 https://lnkd.in/dDukmc8',94,1,0,,linkedin,pt,
217,dextra-digital,,2020-08-06,O nosso programa de estágio está no ar! Inscreva-se e venha se desenvolver com a gente! Clique no link:https://lnkd.in/dFsqua7',114,9,0,,linkedin,pt,
218,dextra-digital,,2020-08-06,Join the revolution! SAVE THE DATE 20.08.2020',111,0,0,,linkedin,en,
28,softexnacional,,2020-09-05,"Um orgulho enorme pra nós prestarmos essa homenagem a figuras que realmente trabalham pelo desenvolvimento do nosso país..Confiram a Homenagem de Inovação Illuminatus, uma iniciativa Softex e Rio Info: https://lnkd.in/dSKFfWi.#InovarSempre.Ruben Delgado Diones Lima'",10,0,0,#InovarSempre.Ruben,linkedin,pt,
30,softexnacional,,2020-09-05,Estamos ao vivo. Venham ver! https://lnkd.in/gd_Wm7S',6,0,0,,linkedin,pt,
54,softexnacional,,2020-09-05,"Venha ver! Entrevista com Claudia Wilson da RioInfo Agente Softex e Rayanny Nunes da Softex, sobre o programa Ela Empodera. 👩\u200d💼😃 Rayanny Nunes Claudia Wilson.Empreendedoras do Rio de Janeiro ainda dá tempo! Se inscrevam no Ela Empodera. www.elaempodera.softex.br .https://lnkd.in/gEYj6en'",15,0,0,,linkedin,pt,
101,softexnacional,,2020-09-05,"Conexão Amazônia! Confira a programação do dia 16/09, inscreva-se e participe: https://lnkd.in/d8v_EkU.9h*: Programa Prioritário de Economia Digital & Cases com Geraldo Feitosa do INDT..10h*: Programa Prioritário de Indústria 4.0 & Cases com Rafael Tarso do CITS. .11h*: Programa Prioritário de Bioeconomia & Cases com Carlos Gabriel do IDESAM. .13h*: Programa Prioritário Recursos Humanos & Cases com Fernando Moreira do Muraki. .14h*: Painel - Atração e valorização de Recursos Humanos: quais profissionais são mais necessários na região com Diego Siqueira da Bemol Digital, Fábio Montenegro da eMercado, Beta Monteiro da Softex e Vania Thaumartugo do Instituto Eldorado.  .15h30*: AWS Educate com Rubem Saldanha da Amazon Web Services. .16h*: Painel - Capacitações Gratuitas com Camila Borges da Huawei, Celso de Azevedo da Data H/IA2A2 e Vera Cabral da Microsoft Brasil..#SoftexAmazônia #ConexãoNegócios #ConexãoAmazônia #Startups #InovaçãoManaus #EmpreendeManaus #NegóciosRegiãoNorte #SUFRAMA #ZFM #ZonaFrancaDeManaus #Amazônia.*Horário de Manaus .'",17,8,0,"#SoftexAmazônia, #ConexãoNegócios, #ConexãoAmazônia, #Startups, #InovaçãoManaus, #EmpreendeManaus, #NegóciosRegiãoNorte, #SUFRAMA, #ZFM, #ZonaFrancaDeManaus, #Amazônia.*Horário",linkedin,pt,
