id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,,,
144,ciandt,,2020-10-20,"Our EVP Partner of Operations, Solange Sobral, will be joining the Silicon Valley Web Conference, where she will discuss ”How Diversity is the Secret Sauce of Silicon Valley"". Join us on October 15th for the free online event! Learn more: https://lnkd.in/ewnxRYA'",180,2,0,,linkedin,,,
148,ciandt,,2020-10-20,"Na semana que vem, participaremos da HSM Expo junto a algumas das marcas mais valiosas do Brasil. Inscreva-se e fique por dentro de como Lean e o Digital aceleram novas ideias e transformam a jornada do cliente para construir grandes resultados. https://midi.as/yB63'",62,1,0,,linkedin,,,
150,ciandt,,2020-10-20,"Nos dias 28 a 30 de outubro acontece a edição online do TDC Recife 2020 que conta com a presença de speakers CI&T nos 3 dias de evento! Inscreva-se e confira essas e outras palestras, além da programação gratuita que o evento oferece: https://lnkd.in/dKUJ7TD#thedevconf #weareciandt'",92,4,0,"#thedevconf, #weareciandt'",linkedin,,,
151,ciandt,,2020-10-20,"Dr. Julian Birkinshaw, London Business School Professor and author of Fast/Forward, talks about Adhocracy fundamentals, a decentralized and action-oriented management model that allows organizations to be more experimental, agile, and to thrive in the accelerated trends. https://spoti.fi/30Kygpn'",36,0,0,,linkedin,,,
153,ciandt,,2020-10-20,"Join us at Fintech South on Oct. 6th at 4:25pm EDT to hear our keynote panel discuss how we’re digitally transforming the largest bank in Latin America. Our CEO, Cesar Gon, will be with Ricardo Guerra, Itaú Unibanco, and Rodrigo Dantas e Silva, Ernst and Young, sharing insights, challenges, and goals. The event hosts 2,500+ fintech leaders from around the world for a full week of content and experiences designed to drive business success and thrive in the next normal. Register here: fintechsouth.com'",88,1,0,,linkedin,,,
155,ciandt,,2020-10-20,"PJ Pereira, Founder and Creative Chairman of Pereira O’Dell and Thelton McMillian, Chief Growth Officer of CI&T, discuss creativity and why it’s vital and more important than ever. They share how it’s one of the most important and valuable resources to businesses and organizations. https://spoti.fi/34anZ6K'",49,1,0,,linkedin,,,
16,iteris-consultoria-e-software,,2020-10-20,Soluções inteligentes podem facilitar o dia a dia das atividades conjuntas entre RH e TI. Quer saber como? Leia o nosso artigo!#RH #RecursosHumanos # GenteeGestão #TI #Tecnologia #CAP2AM #Iteris',48,0,0,"#RH, #RecursosHumanos, # GenteeGestão, #TI, #Tecnologia, #CAP2AM, #Iteris'",linkedin,,,
19,iteris-consultoria-e-software,,2020-10-20,Quer saber como uma ação coordenada entre Gente e Gestão e TI pode evitar riscos legais relacionados ao trabalho remoto?Então dê uma lida nesse artigo.#genteegestao #si #seguranca #infraestrutura #tecnologia #recursoshumanos #segurancadedados #governanca #gerenciamento #trabalhoremoto #CAP2AM #Iteris #Gestaodeacessos #IGA',40,0,0,"#genteegestao, #si, #seguranca, #infraestrutura, #tecnologia, #recursoshumanos, #segurancadedados, #governanca, #gerenciamento, #trabalhoremoto, #CAP2AM, #Iteris, #Gestaodeacessos, #IGA'",linkedin,,,
23,iteris-consultoria-e-software,,2020-10-20,"No último dia 22, o CAP Platform Brasil realizou o primeiro CAP Talk, um webinar que contou com a presença do Danni Mnitentag, Diretor de Alianças e Parcerias da Microsoft , Marcelo Santos, Diretor de TI da SGS e Sérgio Ferreira, Diretor Executivo da Iteris.A partir desse evento, o Sérgio Ferreira escreveu um artigo sobre Convergência Digital.Acesse o link e leia agora mesmo!https://lnkd.in/d_rbpD6'",37,0,0,,linkedin,,,
32,iteris-consultoria-e-software,,2020-10-20,"Conduzir uma equipe com o objetivo de torná-la mais eficiente e auxiliar na resolução de problemas, já não é uma tarefa fácil quando feita presencialmente. Agora, em tempos de home office, a facilitação ganhou alguns novos obstáculos.Clique na imagem e veja algumas dicas do Wagner Basso, Agile Master aqui na Iteris..#facilitação #timesageis #homeoffice #blogIteris #Iterishttps://lnkd.in/eMzQRbq'",60,0,0,"#facilitação, #timesageis, #homeoffice, #blogIteris, #Iterishttps://lnkd.in/eMzQRbq'",linkedin,,,
