company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Annata,137892.0,Annata,51-200 funcionários,True,"Reykjavik, Kopavogur",Software,0.0,https://www.linkedin.com/company/137892/about/,"Microsoft Dynamics 365 for Finance and Operations, Microsoft OLAP, Microsoft Dynamics 365 for Customer Engagement, Automotive, Equipment, Rental, Manufacturing and Fleet Industries, Construction Equipment, ERP, Management Solutions, Annata 365 for Dynamics, Consultancy, Information Technology and Services, Computer Software, Microsoft Dynamics 365, Customer Engagement, CRM, DMS, Agriculture, AX, Azure, Power Apps, Power Platform, Dealers e Power Platform",0,http://www.annata.net,,,,,
ANPEI,905903.0,ANPEI,11-50 funcionários,True,"São Paulo, SP",Organização cívica e social,0.0,https://www.linkedin.com/company/905903/about/,"Pesquisa, Desenvolvimento, Inovação Tecnológica, Inovação, Gestão da Inovação, Propriedade Intelectual, Fomento à Inovação, ICT, Empresa e Startup",0,http://www.anpei.org.br,,,,,
"Ansco & Associates, LLC",1159044.0,"Ansco & Associates, LLC",1.001-5.000 funcionários,True,"Norcross, Georgia",Telecomunicações,0.0,https://www.linkedin.com/company/1159044/about/,"Underground/Aerial Plant Design/Construction, Turnkey Cabinet Placement, Field Engineering, full engineer/furnish/install services, Site Acquisition, Engineering, Procurement and Logistics, Project Management, Civil and Electrical e Tower and Line/Antenna Installs",0,http://www.anscollc.com,,,,,
Colorado State University,163149.0,ansco.co,5.001-10.000 funcionários,True,"Fort Collins, co",Ensino superior,0.0,https://www.linkedin.com/company/163149/about/,"clean and renewable energy, sustainable technology, cancer research, infectious disease, veterinarian medicine, climate modeling, atmospheric science, agriculture, construction management, journalism e occupational therapy",0,http://colostate.edu,,,,,
"Anthem, Inc.",2619.0,Anthem,+ de 10.001 funcionários,True,"Indianapolis, Indiana",Atendimento médico e hospitalar,,https://www.linkedin.com/company/2619/about/,"health insurance, Blue Cross and Blue Shield, dental plans, Medicaid, pharmacy benefits, vision insurance, life insurance, health plans, Medicare supplement insurance, employee benefits, health data analytics, Health Administration , Public health, Medicare, dental insurance, pallative care, health analytics, employer sponsored health insurance e health benefits",3233,http://AnthemInc.com,,,,,
"Anthem, Inc.",2619.0,"Anthem, Inc.",+ de 10.001 funcionários,True,"Indianapolis, Indiana",Atendimento médico e hospitalar,0.0,https://www.linkedin.com/company/2619/about/,"health insurance, Blue Cross and Blue Shield, dental plans, Medicaid, pharmacy benefits, vision insurance, life insurance, health plans, Medicare supplement insurance, employee benefits, health data analytics, Health Administration , Public health, Medicare, dental insurance, pallative care, health analytics, employer sponsored health insurance e health benefits",0,http://AnthemInc.com,,,,,
,,Antje Feistkorn.,,False,,,,,,,,,,,,
ANTONAKIS SOTERIOU & ASSOCIATES LLC,1345727.0,ANTONAKIS SOTERIOU & ASSOCIATES LLC,11-50 funcionários,True,NF,Prática jurídica,0.0,https://www.linkedin.com/company/1345727/about/,"Accident & Personal Injury, Administrative, Banking & Finance, Commercial, Construction, Corporate, Criminal, Debt Collection, Employment & Labour, Family, Intellectual Property, Landlord & Tenant, Property & Real Estate, Public Procurement, Tax e Wills & Probate",0,http://www.soteriou.law,,,,,
Desapeguix - classificados grátis anuncie você também seja um Desapeguix,15221270.0,Anuncie Curitiba,2-10 funcionários,True,NF,Marketing e publicidade,0.0,https://www.linkedin.com/company/15221270/about/,"Classificados grátis, divulgue seus serviços, objetos, anuncie gratuitamente e carro, veículos, imóveis e moveis",0,http://www.desapeguix.com.br,,,,,
ANYMARKET,10494170.0,ANYMARKET,51-200 funcionários,True,"Maringá, Paraná",Software,0.0,https://www.linkedin.com/company/10494170/about/,"E-commerce, Marketplace e Hub Marketplace",0,http://www.anymarket.com.br,,,,,
