company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Cover Avocats,15213322.0,Cover Avocats,2-10 funcionários,True,"Paris, Ile-de-France",Prática jurídica,0.0,https://www.linkedin.com/company/15213322/about/,Private Equity | M&A | Droit Social | Distribution | Contentieux,0,http://www.coveravocats.com,,,,,
Covr Financial Technologies,10957037.0,Covr Financial Technologies,51-200 funcionários,True,"Hartford, Connecticut",Serviços financeiros,3.0,https://www.linkedin.com/company/10957037/about/,NF,39,http://www.covrtech.com,,,,,
Cox Communications,3330.0,Cox Communications,+ de 10.001 funcionários,True,"Atlanta, GA",Telecomunicações,49.0,https://www.linkedin.com/company/3330/about/,"Television, Broadband, Telephone, High Speed Internet, Digital Media, Security Services, Residential Cable, Technology, Home Automation, Advertising Solutions e Wifi",115,http://www.cox.com,,,,,
CP LAW ASSOCIATES,38109262.0,CP LAW ASSOCIATES,2-10 funcionários,True,NF,Serviços jurídicos,0.0,https://www.linkedin.com/company/38109262/about/,"bankruptcy, wills, trusts, debt, insolvency, immigration, finance, property, divorce, matrimonial e business",0,http://www.cplawassociates.com,,,,,
CPA Global,204705.0,CPA Global,1.001-5.000 funcionários,True,NF,Tecnologia da informação e serviços,1.0,https://www.linkedin.com/company/204705/about/,"The IP Platform, IP Management Software, Innovation Support, IP Portfolio Support, IP Intelligence Software, Patent and Trademark Renewals, Ideas, Invention, Search, Watch, Docketing, Forecasting, Filing, Recordals, and Analytics",21,http://www.cpaglobal.com,,,,,
CPQD,163239.0,CPQD,1.001-5.000 funcionários,True,"Campinas, SP",Tecnologia da informação e serviços,,https://www.linkedin.com/company/163239/about/,"Sistemas de Suporte a Operações e Negócios, Comunicações Ópticas, Segurança da Informação e Comunicação, Gerenciamento da Decisão, Inclusão Digital, Cidades Inteligentes, IoT, Internet das Coisas, Computação Cognitiva, Computação Avançada, Agronegócio Inteligente, Comunicações sem Fio, Sensoriamento, Sistemas de Energia, Sistemas Eletrônicos Embarcados, Redes de Dados, Manufatura Avançada, Inteligência Artificial, Inovação Aberta, Conectividade Móvel e Pesquisa e Desenvolvimento",5,http://www.cpqd.com.br/,,,,,
,,CR7 Informática,,False,,,,,,,,,,,,
CRAZIES BRANDING,34945775.0,CRAZIES BRANDING,11-50 funcionários,True,"São Paulo , SP",Design,0.0,https://www.linkedin.com/company/34945775/about/,"Branding , Design gráfico , Design, Marketing , Marketing digital , Social media e Eventos",0,https://www.crazies.com.br,,,,,
Credit Acceptance,163255.0,Credit Acceptance,1.001-5.000 funcionários,True,"Southfield, MI",Serviços financeiros,6.0,https://www.linkedin.com/company/163255/about/,"The Credit Acceptance program gives our network of nationwide participating car dealers the ability to deliver credit approvals to every consumer within 30 seconds, 24/7.",110,http://www.creditacceptance.com/,,,,,
Crédit Agricole CIB,2579.0,Crédit Agricole CIB,5.001-10.000 funcionários,True,"Montrouge, -",Bancos,1.0,https://www.linkedin.com/company/2579/about/,"Finance, Corporate Banking, Investment Banking, Structured Finance e Fixed Income Markets",39,http://www.ca-cib.com,,,,,
Credit Cash - Oficial,24995299.0,Credit Cash - Oficial,5.001-10.000 funcionários,True,"São Paulo, SP",Atendimento ao consumidor,0.0,https://www.linkedin.com/company/24995299/about/,"Recuperação de Créditos, Cobrança, Vendas, Retenção e Sac",0,http://www.creditcash.com.br/,,,,,
Credit Suisse,1284.0,Credit Suisse,+ de 10.001 funcionários,True,NF,Bancos,29.0,https://www.linkedin.com/company/1284/about/,Private Banking & Wealth Management e Investment Banking,1168,http://www.credit-suisse.com/,,,,,
Creditor Cobrancas,24525584.0,Creditor Cobrancas,NF,True,"Curitiba, Paraná",Serviços financeiros,0.0,https://www.linkedin.com/company/24525584/about/,NF,0,http://creditor.com.br,,,,,
Crescent Communities,48528.0,Crescent Communities,51-200 funcionários,True,"Charlotte, NC",Imobiliário,,https://www.linkedin.com/company/48528/about/,commercial and retail development e multifamily communities,1,http://www.crescentcommunities.com,,,,,
Crescent Communities,48528.0,"Crescent Communities, LLC",51-200 funcionários,True,"Charlotte, NC",Imobiliário,,https://www.linkedin.com/company/48528/about/,commercial and retail development e multifamily communities,1,http://www.crescentcommunities.com,,,,,
Cresol Confederação,14806506.0,Cresol Confederação,51-200 funcionários,True,"Florianópolis, Santa Catarina",Serviços financeiros,0.0,https://www.linkedin.com/company/14806506/about/,"Cooperativismo de Crédito, Crédito Rural, Crédito, Produtos e Serviços Financeiros, Financiamentos, Economia Solidária, Crédito Agrícola, Seguros, Consórcios e Tecnologia da Informação",0,http://www.cresolconfederacao.com.br,,,,,
Cricket Wireless,5780.0,Cricket Wireless,1.001-5.000 funcionários,True,"Atlanta, Georgia",Telecomunicações,,https://www.linkedin.com/company/5780/about/,"Wireless, No Contract e Prepaid",416,http://www.cricketwireless.com,,,,,
,,Critério Humano Desenvolvimento e Gestão de Pessoas Ltda.,,False,,,,,,,,,,,,
CRM Day,13012581.0,CRM Day,11-50 funcionários,True,"São Paulo, SP",Gestão educacional,0.0,https://www.linkedin.com/company/13012581/about/,"CRM , Estratégia Vendas, Tecnologia  e Atendimento",0,http://www.crmday.com.br,,,,,
,,CRMALL Marketing Information System,,False,,,,,,,,,,,,
,,Cross Country Home Services,,False,,,,,,,,,,,,
CrossKnowledge,163266.0,CrossKnowledge,201-500 funcionários,True,NF,Educação à distância,,https://www.linkedin.com/company/163266/about/,"e-learning, Corporate Learning, Digital Learning, Mobile Learning, Learning and Development, Talent Development, Distance Learning, Management & Leadership Development, Onboarding, Leadership Development, Employee Development, Sales Support, Proprietary Technologies, Full Integration Capabilities, Blended Learning, Digital Publishing Platform, Learning Content Modules, Digital Transformation, Digital Culture e Learning Suite",8,https://www.crossknowledge.com,,,,,
Crossland Employment Solicitors,5089393.0,Crossland Employment Solicitors,2-10 funcionários,True,"Abingdon, Oxon",Serviços jurídicos,0.0,https://www.linkedin.com/company/5089393/about/,Employment Law,0,http://www.crosslandsolicitors.com,,,,,
CrowdStrike,2497653.0,CrowdStrike,1.001-5.000 funcionários,True,"Sunnyvale, CA",Segurança de redes e computadores,143.0,https://www.linkedin.com/company/2497653/about/,"Next-Generation Endpoint Protection, Endpoint Detection and Response, Next Generation Anti-Virus, Managed Threat Hunting, Incident Response, Threat Intelligence, Malware Prevention, Malware Detection, Machine Learning e Cloud-Delivered Endpoint Protection",636,http://www.crowdstrike.com,,,,,
,,Crown Carrer Direct,,False,,,,,,,,,,,,
Crown Castle,1557409.0,Crown Castle,1.001-5.000 funcionários,True,"Houston, TX",Telecomunicações,19.0,https://www.linkedin.com/company/1557409/about/,"Site Leasing, Tower & Rooftop Development, Small Cell Solutions, Site Development Services, Site Acquisition, Architectural & Engineering, Zoning & Permitting, Construction e Fiber Solutions",68,http://www.crowncastle.com,,,,,
Crown Equipment Corporation,18756.0,Crown Equipment Corporation,+ de 10.001 funcionários,True,"New Bremen, OH",Logística e cadeia de suprimentos,168.0,https://www.linkedin.com/company/18756/about/,"Forklifts, Lift Trucks, Material Handling, Supply Chain, Logistics, Manufacturing, Warehousing e Fleet Management",426,http://www.crown.com,,,,,
Crown Prosecution Service,2173.0,Crown Prosecution Service,5.001-10.000 funcionários,True,"London, England",Prática jurídica,,https://www.linkedin.com/company/2173/about/,NF,31,http://www.cps.gov.uk/,,,,,
Crum & Forster,12751.0,Crum & Forster,1.001-5.000 funcionários,True,"Morristown, New Jersey",Seguros,14.0,https://www.linkedin.com/company/12751/about/,NF,58,http://www.cfins.com,,,,,
Crump Life Insurance Services,1151276.0,Crump Life Insurance Services,1.001-5.000 funcionários,True,"Parsippany, NJ",Seguros,4.0,https://www.linkedin.com/company/1151276/about/,"Annuities, Disability, Life Insurance, Long Term Care, Health Products, Advanced Sales e Impaired Risk Underwriting",27,http://crump.com,,,,,
Ford Motor Company,1483.0,Cryptosage.co.uk,+ de 10.001 funcionários,True,"Dearborn, Michigan",Indústria automotiva,277.0,https://www.linkedin.com/company/1483/about/,"Automotive, Financial Services e Mobility",531,https://corporate.ford.com/careers,,,,,
Crystal Cruises,20164.0,Crystal Cruises,1.001-5.000 funcionários,True,"Los Angeles, California","Lazer, viagens e turismo",,https://www.linkedin.com/company/20164/about/,Luxury Travel,3,http://www.crystalcruises.com/,,,,,
CS Comunicação e Segurança,55045117.0,CS Comunicação,11-50 funcionários,True,"São José  , Santa Catarina",Produtos eletrônicos,0.0,https://www.linkedin.com/company/55045117/about/,NF,0,https://cs.ind.br/?utm_source=linkedin,,,,,
"CSAA Insurance Group, a AAA Insurer",2984.0,"CSAA Insurance Group, a AAA Insurer",1.001-5.000 funcionários,True,"Walnut Creek, CA",Seguros,9.0,https://www.linkedin.com/company/2984/about/,Personal Lines Insurance,37,https://careers.csaa-insurance.aaa.com/,,,,,
CSD Companhia Sulamericana de Distribuição,899399.0,CSD Companhia Sulamericana de Distribuição,5.001-10.000 funcionários,True,"Maringa, Parana",Varejo,,https://www.linkedin.com/company/899399/about/,Supermercado - Varejo e atacarejo,1,http://www.csdvarejo.com.br,,,,,
CSH Serviços em TI,9336085.0,CSH Serviços em TI,2-10 funcionários,True,NF,Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/9336085/about/,NF,0,NF,,,,,
,,CSI Seguros Imobiliários,,False,,,,,,,,,,,,
CTax Compliance e Consultoria Tributária,65040230.0,CTax Compliance e Consultoria Tributária,2-10 funcionários,True,"Brasília, Distrito Federal",Contabilidade,0.0,https://www.linkedin.com/company/65040230/about/,NF,0,http://www.ctax.com.br,,,,,
CTG Brasil,10944879.0,CTG,501-1.000 funcionários,True,"São Paulo, São Paulo",Serviços públicos,,https://www.linkedin.com/company/10944879/about/,Geração de Energia e Comercialização de Energia,2,http://ctgbr.com.br/,,,,,
CTG Brasil,10944879.0,CTG Brasil,501-1.000 funcionários,True,"São Paulo, São Paulo",Serviços públicos,,https://www.linkedin.com/company/10944879/about/,Geração de Energia e Comercialização de Energia,2,http://ctgbr.com.br/,,,,,
CTIS Tecnologia,10906.0,CTIS Tecnologia,5.001-10.000 funcionários,True,"Barueri, São Paulo",Tecnologia da informação e serviços,,https://www.linkedin.com/company/10906/about/,"customized information technology, outsourcing, printing, professional services, digital signage, contact center, field services, oracle sales and distribution, software factory, service desk e TI",3,https://www.sonda.com/pt-br/,,,,,
,,Cucina Delicatta,,False,,,,,,,,,,,,
Cultura Inglesa Curitiba,2147451.0,Cultura Inglesa Curitiba,51-200 funcionários,True,"Curitiba, Paraná",Gestão educacional,0.0,https://www.linkedin.com/company/2147451/about/,NF,0,http://www.culturainglesacuritiba.com.br/,,,,,
Cummins Inc.,3625.0,Cummins Inc.,+ de 10.001 funcionários,True,"Columbus, Indiana",Indústria automotiva,3.0,https://www.linkedin.com/company/3625/about/,"Cummins Engine Business, Cummins Power Generation, Cummins Distribution Business, Cummins Turbo Technologies, Cummins Emission Solutions, Cummins Fuel Systems, Cummins Filtration e Cummins Electrified Power",48,http://www.cummins.com,,,,,
CUNA Mutual Group,163299.0,CUNA Mutual Group,1.001-5.000 funcionários,True,"Madison, WI",Seguros,13.0,https://www.linkedin.com/company/163299/about/,"Insurance, Asset Management, Employee Benefits e Financial Services",76,http://www.cunamutual.com,,,,,
Curitiba Connectory ,15819455.0,Curitiba Connectory,11-50 funcionários,True,"Curitiba , Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/15819455/about/,NF,0,http://www.curitibaconnectory.com,,,,,
,,Curso Evidente e Curso Expandir,,False,,,,,,,,,,,,
Cursos PM3,11540644.0,Cursos PM3,2-10 funcionários,True,"Sao Paulo, SP",Educação à distância,0.0,https://www.linkedin.com/company/11540644/about/,"Product Manager, Product Management, Gerentes de Produto, Gerenciar Produtos e Growth",0,http://www.cursospm3.com.br,,,,,
Cushman & Wakefield,4060.0,Cushman & Wakefield,+ de 10.001 funcionários,True,"Chicago, IL",Imóveis comerciais,237.0,https://www.linkedin.com/company/4060/about/,"agency leasing, global occupier services, asset services, investment management (branded DTZ Investors), capital markets, project & development services, facility services (branded C&W Services), tenant representation and valuation & advisory, Real Estate, project management e Immobilier",1582,http://www.cushmanwakefield.com,,,,,
CVA - Assistência Técnica e Consultoria Agropecuária Ltda,12576965.0,CVA CONSULTORIA,NF,True,"São Félix do Coribe, Bahia",NF,0.0,https://www.linkedin.com/company/12576965/about/,NF,0,NF,,,,,
CVP (Customer Value Partners),26145.0,CVP (Customer Value Partners),201-500 funcionários,True,"Fairfax, VA",Consultoria de gerenciamento,18.0,https://www.linkedin.com/company/26145/about/,"National Security Solutions, U.S. Public Sector, BizDevOps,  Next Gen Architecture,  Big Data, Secure Cloud, Cybersecurity, OCM and Culture, Performance Transformation e Digital Convenience",34,http://www.cvpcorp.com,,,,,
CVS Health,4680.0,CVS Health,+ de 10.001 funcionários,True,"Woonsocket, RI","Saúde, bem-estar e educação física",1531.0,https://www.linkedin.com/company/4680/about/,"Healthcare, Pharmacy, Retail e Pharmacy Benefits Management",43420,https://cvs.co/linkedinprofile,,,,,
CWB Tecnologia,28602516.0,CWB Tecnologia,2-10 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/28602516/about/,"Consultoria de Ti, Infraestrutura de Redes , Segurança da Informação  , Reduperação de Dados, Telefonia VOIP, Manutenção de Microinformatica  e Suporte de Ti",0,http://www.cwbti.com.br,,,,,
CWI Software,343130.0,CWI Software,501-1.000 funcionários,True,"Porto Alegre, RS",Software,,https://www.linkedin.com/company/343130/about/,"Fábrica de Projetos, Fábrica de Testes, Fábrica de Software, Outsourcing, Tecnologia da Informação, Software, TI e Developers",4,http://www.cwi.com.br,,,,,
CWS Group,303205.0,CWS,5.001-10.000 funcionários,True,"Duisburg, Nordrhein-Westfalen",Logística e cadeia de suprimentos,,https://www.linkedin.com/company/303205/about/,"textile laundry services, washroom dispensers and services, rental entrance mats, protective and professional work wear, linen products for hospitals and HoReCa, cleanroom garments, industrial wipes e mopping systems",13,https://www.cws.com,,,,,
CWS Apartment Homes,113305.0,CWS Apartment Homes,501-1.000 funcionários,True,"Austin, Texas",Imobiliário,,https://www.linkedin.com/company/113305/about/,"Real Estate, Investment Management, Multifamily e Property Management",51,http://www.cwsapartments.com,,,,,
Cyblance,3699658.0,Cyblance,11-50 funcionários,True,"Ahmedabad, Gujarat",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/3699658/about/,"Web design & Development, Mobile Application Development - iOS, Android, Window, CRM system, ERP & CMS Solution, Business Application, Amazon Web services, Saas Based System, Multimedia platform e Link Share",0,http://www.cyblance.com/,,,,,
Cypress,58377.0,Cypress,11-50 funcionários,True,"São Paulo, SP",Bancos de investimento,0.0,https://www.linkedin.com/company/58377/about/,Corporate Finance Advisory (M&A and Capital Markets),0,https://www.cypress.com.br,,,,,
D.R. Horton,7479.0,D.R. Horton,5.001-10.000 funcionários,True,"Arlington, TX",Construção,109.0,https://www.linkedin.com/company/7479/about/,Construction e Homebuilding,795,http://www.drhorton.com,,,,,
D3 Pagamentos,51619848.0,D3 Pagamentos,11-50 funcionários,True,"Sorocaba, São Paulo",Serviços financeiros,0.0,https://www.linkedin.com/company/51619848/about/,NF,0,http://d3pagamentos.com.br/,,,,,
DAC Beachcroft LLP,28415.0,DAC Beachcroft LLP,1.001-5.000 funcionários,True,"London, England",Prática jurídica,,https://www.linkedin.com/company/28415/about/,NF,1,http://www.dacbeachcroft.com,,,,,
Daitan Group,20787.0,Daitan Group,501-1.000 funcionários,True,"San Ramon, California",Tecnologia da informação e serviços,,https://www.linkedin.com/company/20787/about/,"Highly Reliable Software Development, Professional Services Outsourcing, Continuous Integration and Testing, Product Maintenance and Sustaining Engineering Programs, IMS, WebRTC, SIP, VoIP, NFV, Unified Communications, Contact Center Solutions e Data Science and Analytics",3,http://www.daitan.com,,,,,
"Dalcomuni, Dutra e Colognese Advogados",11813408.0,"Dalcomuni, Dutra e Colognese Advogados",2-10 funcionários,True,"Curitiba, Paraná",Prática jurídica,0.0,https://www.linkedin.com/company/11813408/about/,"direitodotrabalho, direitotributário e tax",0,http://www.dalcomunidutra.com.br,,,,,
Dalton State College,467315.0,"Dalton & Finegold, LLP",51-200 funcionários,True,"Dalton, ga",Ensino superior,1.0,https://www.linkedin.com/company/467315/about/,NF,2,http://www.daltonstate.edu,,,,,
Dan Ryan Builders,63147.0,Dan Ryan Builders,201-500 funcionários,True,"Rockville, Maryland",Construção,4.0,https://www.linkedin.com/company/63147/about/,"Single Family Homes, New Homes Maryland, New Homes West Virginia, New Homes North Carolina, New Homes South Carolina, New Homes Pennsylvania, New Homes Virginia, Town Homes, 50 and Better Communities e Title Company",28,http://www.danryanbuilders.com,,,,,
Danfoss Power Solutions,7498.0,Danfoss Power Solutions,5.001-10.000 funcionários,True,NF,Engenharia mecânica ou industrial,,https://www.linkedin.com/company/7498/about/,"Hydraulics, electronics, software, application engineering, mobile hydraulics, construction, agriculture, off-highway vehicle systems, manufacturing, electrification, Digitalization, Off-highway, Marine, Offshore, mobile hydraulics, solutions provider, Connectivity, IoT, Telematics, Remote controls e HMI",1,http://www.danfoss.com/powersolutions,,,,,
Danske Spil A/S,163346.0,Danske Spil A/S,201-500 funcionários,True,"Brøndby, Copenhagen",Jogos de azar,,https://www.linkedin.com/company/163346/about/,"Vi udbyder spil som Lotto, Oddset, Quick, Poker, Casino, Tips, Zezam, Quick, Dantoto,, udlodningsmidler e Overskuddet fra Danske Lotteri Spil A/S fordeles som udlodningsmidler til blandt andet idræt, kultur, forskning og sygdomsbekæmpelse.",5,https://danskespil.dk/om,,,,,
DART Innovation,16203715.0,DART Innovation,11-50 funcionários,True,"Morrisville, North Carolina",Marketing e publicidade,0.0,https://www.linkedin.com/company/16203715/about/,"In-store advertising, In-store media, Digital out-of-home, Digital Signage e POS",0,http://www.dartdisplays.com/,,,,,
Darwin Recruitment,470100.0,Darwin Recruitment,51-200 funcionários,True,"Billericay, Essex",Recrutamento e seleção,1.0,https://www.linkedin.com/company/470100/about/,"Recruitment, IT Skills Search, Contractor Search, Permanent Search, Retained Solutions, Technology Jobs, Head Hunting, Staffing in Sweden, Staffing in Norway, Staffing in Germany, Staffing in The Netherlands, Staffing in Switzerland e Staffing in Europe",30,http://www.darwinrecruitment.com,,,,,
Datacoper,310703.0,Datacoper,51-200 funcionários,True,"Cascavel, PR",Software,0.0,https://www.linkedin.com/company/310703/about/,"ERP - Enterprise Resource Planning, BI - Business Intelligence, Portal do Produtor, Agricultura de Precisão, CRM, Agronegócio e Customer Relationship Management",0,http://www.datacoper.com.br,,,,,
Datainfo Solucoes Em Tecnologia Da Informacao,24545054.0,Datainfo Soluções em Tecnologia da Informação,11-50 funcionários,True,"Blumenau, Santa Catarina",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/24545054/about/,NF,0,http://datainfo.inf.br,,,,,
Datainfo Soluções em TI,1139874.0,Datainfo Soluções em TI,201-500 funcionários,True,NF,Tecnologia da informação e serviços,,https://www.linkedin.com/company/1139874/about/,"Outsourcing, Desenvolvimento de Software, Infraestrutura, Produtos e Soluções, Governança, Testes de Software, Transformação Digital e Tecnologia da Informação",8,http://www.datainfo.inf.br,,,,,
Datapar S.A.,1156151.0,Datapar S.A.,51-200 funcionários,True,"Ciudad del Este, Alto Parana",Desenvolvimento de programas,,https://www.linkedin.com/company/1156151/about/,"Desenvolvimento Software, Consultoria Sistemas, Servidores na Nuvem, Desarrollo de Software, Software ERP, Servicios de Infraestructura, Venta de Insumos Informáticos, Canal Autorizado en Paraguay , Software para Industrias, Software para Cooperativas, Software para Consecionarias, Software para Agro Negocios, Software CRM, Telecom, Dolphin ERP, Clover CRM, Vistra Bi, ERP para Agronegocios, ERP Paraguay, Servidores HPe, Sistema de Gestion e Software de Gestion",2,http://www.datapar.com.py,,,,,
DataProtect,748352.0,"Datapro, Inc.",51-200 funcionários,True,NF,Segurança de redes e computadores,,https://www.linkedin.com/company/748352/about/,"Sécurité Internet, Développements sécurisés, Integration de solutions, Audit, Test d'intrusion, PCA, PRA, Politique de sécurité, Analyse de risque, Télé administration et télé exploitation, Spécialistes, conseil, integration, soc/mssp, formation, recherche et developpement, cybersécurité, sécurité de l'information, pci dss, pa dss, RGDP, CSP SWIFT e SENSIPRO",1,http://www.dataprotect.ma,,,,,
Dataprom Equipamentos e Serviços de Informática,1319820.0,Dataprom Equipamentos e Serviços de Informática,201-500 funcionários,True,"Curitiba, Paraná",Tecnologia da informação e serviços,,https://www.linkedin.com/company/1319820/about/,"Mobilidade Urbana, Segurança, Trânsito, BRT, Controlador Ferroviário, Gestão de Frota e Bilhetagem Eletrônica",2,http://www.dataprom.com,,,,,
DataProtein,28732906.0,DataProtein,11-50 funcionários,True,"Dallas, Texas",Marketing e publicidade,0.0,https://www.linkedin.com/company/28732906/about/,"Lead Generation, Demand Generation, Lead Nurture, Content Syndication, Account Based Marketing, Market Qualified Lead (MQL), Highly Qualified Lead (HQL), BANT, Email Marketing, B2B Sales, Webinars, Data Services, Event Registrations, Whitepaper, Sales Qualified Leads (SQL), Digital Marketing, IT Sales, Content Marketing, Branding, Appointment Generation, Market Research, Opt In Leads e Intent Qualified Leads",0,http://dataprotein.com,,,,,
David Weekley Homes,17033.0,David Weekley Homes,1.001-5.000 funcionários,True,"Houston, Texas",Construção,,https://www.linkedin.com/company/17033/about/,"Homebuilding, LifeDesign, Custom Choices, Service e FlexSpace",1,http://www.davidweekleyhomes.com/,,,,,
Davidson Homes,2720633.0,Davidson Homes,51-200 funcionários,True,"Huntsville, Alabama",Imobiliário,,https://www.linkedin.com/company/2720633/about/,NF,1,http://www.davidsonhomesllc.com,,,,,
Dawson Cornwell,1671312.0,Dawson Cornwell,51-200 funcionários,True,"London, London",Prática jurídica,0.0,https://www.linkedin.com/company/1671312/about/,"Divorce, International Child Abduction, Forced Marriage, Civil Partnership Dissolution, Wills, Probate & Taxation, Property, Children Law, Child Law, Separation, Pre Nuptual Agreements, Child Abduction, Wardship, Civil Law e International Law",0,http://www.dawsoncornwell.com,,,,,
DAXDATA ANALYTICS,11749067.0,DAXDATA ANALYTICS,2-10 funcionários,True,"Brasilia, Distrito Federal",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/11749067/about/,"Análise de Dados, Ciência de Dados, Big Data",0,https://www.daxdata.com.br,,,,,
Diagnósticos do Brasil - DB,10115873.0,DB Medicina Diagnóstica,1.001-5.000 funcionários,True,"São José dos Pinhais, Paraná","Saúde, bem-estar e educação física",0.0,https://www.linkedin.com/company/10115873/about/,"Medicina diagnóstica, Biologia Molecular, Patologia Clínica e Saúde",0,https://diagnosticosdobrasil.com.br,,,,,
DB1 Global Software,472039.0,DB1 Global Software,201-500 funcionários,True,"Maringá, Paraná",Software,,https://www.linkedin.com/company/472039/about/,"DBA Oracle, Outsourcing e Projetos, Desenvolvimento Java, Desenvolvimento Delphi, Desenvolvimento Progress, Metodologia Scrum, Gestão de Projetos - PMI, Fábrica de Software, Outsourcing de TI, CMMI Maturidade Nível 3, Forms Report, .NET, Java, Delphi, Flex, Cobol, .Net MVC, WebForms, PL/SQL, Phyton, PHP, Progress 4GL, Sharepoint, HTML 5, Ruby on Rails, Crystal, HTML Javascript, SAP ABAP / AGRO, Swift, Progressive Web Apps e Gosu | Guidewire",32,http://www.db1.com.br,,,,,
DB1 Global Software - USA,42088356.0,DB1 Global Software - USA,201-500 funcionários,True,NF,Software,0.0,https://www.linkedin.com/company/42088356/about/,NF,0,http://www.db1global.com,,,,,
,,DBM Call Center,,False,,,,,,,,,,,,
Dbm Contact Center,1240290.0,Dbm Contact Center,1.001-5.000 funcionários,True,"Curitiba, Paraná",Atendimento ao consumidor,,https://www.linkedin.com/company/1240290/about/,"Call Center, Contact Center, Gestão da Tecnologia, Backoffice, CRM, Social Media e Omnichannel",12,http://www.dbm.com.br,,,,,
DBMaster,1357717.0,DBMaster,51-200 funcionários,True,"Pinhais, Paraná",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/1357717/about/,"Tecnologia, Gerenciamento de Conteúdo, Bando de Dados, Infraestrutura tecnológica, Cloud Computing, Fábrica de Software, Big Data, ECM, Portais, Intranet, Workflows, Virtualização, Sharepoint, Mobile e Monitoramento 24horas",0,http://www.dbmaster.com.br,,,,,
DCX Consulting,4788933.0,DCX Consulting,2-10 funcionários,True,NF,Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/4788933/about/,"Automação de Testes de Software, Execução de Testes de Performance, Execução de Testes de Software, Desenvolvimento de Soluções Informatizadas, Treinamentos de Testes e Softwares e Mapeamento e Análise BPM",0,NF,,,,,
DDID - Evolution Through Design,10664367.0,DDID - Design Through Evolution,2-10 funcionários,True,"Curitiba, Paraná",Design,0.0,https://www.linkedin.com/company/10664367/about/,"Design de Produtos, Design Gráfico, Embalagens, Identidade Corporativa, Comunicação Visual, Packaging, Industrial design, Detalhamento técnico e Desenho industrial",0,http://www.ddid.com.br,,,,,
De Bernt,135220.0,De Bernt,51-200 funcionários,True,"São Paulo, SP",Recursos humanos,,https://www.linkedin.com/company/135220/about/,"Executive Search, Outplacement, Assessment, Counseling, Climate Surveys e Career Transition",1,http://www.debernt.com.br,,,,,
Aprimorha - Recolocação Profissional | Transição de Carreira | Jobhunting | Mentoria,5251012.0,de Carreira,11-50 funcionários,True,"Campinas, SP",Recursos humanos,0.0,https://www.linkedin.com/company/5251012/about/,"Outplacement, Orientação Profissional, Preparação de Currículo e Linkedin, Preparação para Entrevista, Mentoria, Coaching, Projetos De Carreira, Recolocação, Transição, Planejamento de Carreira, Mudança de Emprego, Nova Carreira, Carreira Empreendedora e Carreira 4.0",0,http://www.aprimorha.com.br,,,,,
DE GUILLENCHMIDT & ASSOCIES (DGA),3078965.0,DE GUILLENCHMIDT & ASSOCIES (DGA),2-10 funcionários,True,"Paris, Île-de-France",Prática jurídica,0.0,https://www.linkedin.com/company/3078965/about/,"Droit public, Contentieux commercial et économique, Droit pénal des affaires, Russie, Régulation, Droit de la vigne et du vin e Arbitrage",0,http://www.dgavocats.fr,,,,,
Deal,975848.0,Deal,201-500 funcionários,True,"São Paulo, SP",Tecnologia da informação e serviços,,https://www.linkedin.com/company/975848/about/,NF,6,http://www.deal.com.br,,,,,
Debevoise & Plimpton,8354.0,Debevoise & Plimpton,1.001-5.000 funcionários,True,NF,Prática jurídica,4.0,https://www.linkedin.com/company/8354/about/,"Corporate, Litigation, Tax, White Collar, M&A, Investment Management, Capital Markets, Finance, Insurance, Restructuring, Real Estate, Private Equity, Financial Institutions, Technology, Media and Telecommunications, Healthcare, Banking, Pro Bono e Diversity",15,http://www.debevoise.com,,,,,
Dechert LLP,7741.0,Dechert LLP,1.001-5.000 funcionários,True,"Philadelphia, PA",Prática jurídica,1.0,https://www.linkedin.com/company/7741/about/,NF,23,http://www.dechert.com,,,,,
Defensoria Pública da União,1372224.0,Defensoria Pública da União,NF,True,NF,Judiciário,0.0,https://www.linkedin.com/company/1372224/about/,NF,0,http://www.dpu.gov.br,,,,,
,,Defensoria Pública da União | DPU,,False,,,,,,,,,,,,
Delivery Center,17983795.0,Delivery Center,501-1.000 funcionários,True,"São Paulo, São Paulo",Tecnologia da informação e serviços,,https://www.linkedin.com/company/17983795/about/,"Entregas Delivery, Serviço de Alimentação e Conveniência, Entregas de Comida e Itens de Conveniência, Marketplace, O2O, Ecommerce, Tecnologia, Logistica e Inovação",31,https://www.deliverycenter.com/,,,,,
Dell Computers,33654397.0,Dell Computers,201-500 funcionários,True,"New Delhi, Delhi",Tecnologia da informação e serviços,0.0,https://www.linkedin.com/company/33654397/about/,NF,0,http://adfarm.mediaplex.com,,,,,
